title,studio,domestic_gross,foreign_gross,year,matched_title,similarity
The Way He Looks 2014,Strand,101000.0,1100000,2014,The Way He Looks 2014,100
Ilo Ilo 2014,FM,56800.0,1100000,2014,Ilo Ilo 2013,92
Hector And The Search For Happiness 2014,Rela.,1100000.0,,2014,Hector and the Search for Happiness 2014,100
Leviathan (2014) 2014,SPC,1100000.0,,2014,Leviathan 2012,80
The Captive 2014,A24,1100000.0,,2014,The Captive 2014,100
Laggies 2014,A24,1100000.0,,2014,Laggies 2014,100
Jackpot 2014,DR,800.0,1100000,2014,Jackpot 2019,92
Lila Lila 2014,Crnth,,1100000,2014,La La 2014,83
Haider 2014,UTV,1000000.0,,2014,Haider 2014,100
Third Person 2014,SPC,1000000.0,,2014,Third Person 2013,94
Borgman 2014,Drft.,57500.0,952000,2014,Borgman 2013,92
The Disappearance of Eleanor Rigby 2014,Wein.,588000.0,397000,2014,The Disappearance of Eleanor Rigby: Them 2014,93
Shaadi Ke Side Effects 2014,Eros,921000.0,,2014,Shaadi Ke Side Effects 2014,100
Song of the Sea 2014,GK,858000.0,,2014,Song of the Sea 2014,100
Kochadaiiyaan 2014,Eros,817000.0,,2014,Kochadaiiyaan 2014,100
Age of Uprising: The Legend of Michael Kohlhaas (U.S. only) 2014,MBox,3300.0,797000,2014,Age of Uprising: The Legend of Michael Kohlhaas 2013,88
The Zero Theorem 2014,Ampl.,258000.0,513000,2014,The Zero Theorem 2013,95
Palo Alto 2014,Trib.,768000.0,,2014,Palo Alto 2013,93
Ek Villain 2014,Eros,731000.0,,2014,Ek Villain 2014,100
Khoobsurat 2014,UTV,711000.0,,2014,Khoobsurat 2014,100
Holiday (2014) 2014,Relbig.,707000.0,,2014,Holiday 2010,77
Hasee Toh Phasee 2014,Relbig.,646000.0,,2014,Abeo Pharisee 2012,72
Frank 2014,Magn.,645000.0,,2014,Frank 2014,100
Mary Kom 2014,Eros,621000.0,,2014,Mary Kom 2014,100
The Signal (2014) 2014,Focus,601000.0,,2014,The Signal 2014,81
Back in Time (Congcong Nanian) 2014,CL,569000.0,,2014,Cong cong na nian 2014,70
Highway (2014) 2014,UTV,529000.0,,2014,Highway 2012,77
Dom Hemingway 2014,FoxS,524000.0,,2014,Dom Hemingway 2013,94
The One I Love 2014,RTWC,513000.0,,2014,The One I Love 2014,100
Archipelago 2014,KL,7800.0,492000,2014,Archipelago 2010,94
A Girl Walks Home Alone at Night 2014,KL,492000.0,,2014,A Girl Walks Home Alone at Night 2014,100
The Congress 2014,Drft.,138000.0,318000,2014,The Congress 2013,94
In Secret 2014,RAtt.,444000.0,,2014,In Secret 2013,93
Bjork - Biophilia Live 2014,CP,128000.0,306000,2014,Björk: Biophilia Live 2014,94
But Always (Yi Sheng Yi Shi) 2014,CL,431000.0,,2014,Ai ni yi sheng yi shi 2012,75
Beijing Love Story 2014,CL,428000.0,,2014,Beijing Love Story 2014,100
Goodbye to Language 2014,KL,390000.0,,2014,Goodbye to Language 2014,100
Humpty Sharma Ki Dulhania 2014,Relbig.,380000.0,,2014,Humpty Sharma Ki Dulhania 2014,100
Women Who Flirt (Sajiao Nvren) 2014,CL,375000.0,,2014,Women Who Flirt 2014,73
Joe (2014) 2014,RAtt.,373000.0,,2014,2014 2014,75
Omar 2014,AF,356000.0,,2014,Mar 2014,94
The Face of Love 2014,IFC,350000.0,,2014,The Face of Love 2013,95
Jimi: All Is By My Side 2014,XL,341000.0,,2014,Jimi: All Is by My Side 2013,96
I Origins 2014,FoxS,336000.0,,2014,I Origins 2014,100
The Last Sentence 2014,MBox,62500.0,265000,2014,The Last Sentence 2012,95
On My Way 2014,Cohen,317000.0,,2014,On My Way 2013,93
Happy Ending 2014,Eros,314000.0,,2014,Happy Ending 2014,100
I Am Eleven 2014,Proud,310000.0,,2014,I Am Eleven 2011,94
7 Boxes 2014,BGP,38100.0,267000,2014,7 Boxes 2012,92
The Dance of Reality 2014,Abk.,294000.0,,2014,The Dance of Reality 2013,96
Elsa & Fred (2014) 2014,MNE,286000.0,,2014,Elsa & Fred 2014,82
Main Tera Hero 2014,Eros,275000.0,,2014,Main Tera Hero 2014,100
Night Moves 2014,Cdgm.,272000.0,,2014,Night Moves 2013,94
Love on the Cloud (Wei Ai) 2014,CL,272000.0,,2014,Into the Clouds We Gaze 2014,71
Life of Crime 2014,RAtt.,265000.0,,2014,Life of Crime 2013,94
The Green Prince 2014,MBox,258000.0,,2014,The Green Prince 2014,100
Action Jackson (2014) 2014,Eros,257000.0,,2014,Action Jackson 2014,84
The Blue Room 2014,IFC,255000.0,,2014,The Blue Room 2014,100
Tazza: The Hidden Card 2014,CJ,252000.0,,2014,Tazza: The Hidden Card 2014,100
James Cameron's Deepsea Challenge 3D 2014,DLA,236000.0,,2014,Deepsea Challenge 3D 2014,76
Gabrielle (2014) 2014,EOne,5500.0,222000,2014,Gabrielle 2013,74
The Breakup Guru 2014,CL,209000.0,,2014,The Breakup Guru 2014,100
Bethlehem 2014,AF,202000.0,,2014,Bethlehem 2013,93
The Double (2014) 2014,Magn.,200000.0,,2014,The Double 2011,81
Listen Up Philip 2014,Trib.,200000.0,,2014,Listen Up Philip 2014,100
We Are The Best! 2014,Magn.,181000.0,,2014,We Are the Best! 2013,95
That Demon Within 2014,CL,172000.0,,2014,That Demon Within 2014,100
God's Pocket 2014,IFC,170000.0,,2014,God's Pocket 2014,100
Unrelated 2014,KL,4500.0,154000,2014,Unearthed 2014,86
The Polar Express (2014 re-issue) 2014,WB,139000.0,,2014,The Polar Explorer 2011,66
May in the Summer 2014,Cohen,22000.0,112000,2014,May in the Summer 2013,95
The Jewish Cardinal 2014,FM,134000.0,,2014,The Canal 2014,74
Zero Motivation 2014,Zeit.,116000.0,,2014,Zero Motivation 2014,100
Life's a Breeze 2014,Magn.,3500.0,99700,2014,Life's a Breeze 2013,95
The Golden Era 2014,CL,103000.0,,2014,The Golden Era 2014,100
God Help the Girl 2014,Ampl.,103000.0,,2014,God Help the Girl 2014,100
The Best Offer 2014,IFC,100000.0,,2014,The Best Offer 2013,95
Child's Pose 2014,Zeit.,97200.0,,2014,Child's Pose 2013,94
Cuban Fury 2014,EOne,92400.0,,2014,Cuban Fury 2014,100
Girl on a Bicycle 2014,Mont.,91400.0,,2014,Girl on a Bicycle 2013,95
Breathe In 2014,Cohen,89700.0,,2014,Breathe In 2013,93
Life After Beth 2014,A24,88300.0,,2014,Life After Beth 2014,100
Advanced Style 2014,B360,87900.0,,2014,Advanced Style 2014,100
Better Living Through Chemistry 2014,Gold.,75100.0,,2014,Better Living Through Chemistry 2014,100
For No Good Reason 2014,SPC,67400.0,,2014,For No Good Reason 2012,96
The Notebook (2014) 2014,SPC,66600.0,,2014,The Notebook 2013,78
Heropanti 2014,UTV,63600.0,,2014,Heropanti 2014,100
No Tears for the Dead 2014,CJ,63100.0,,2014,No Tears for the Dead 2014,100
Young and Beautiful 2014,IFC,61100.0,,2014,Young & Beautiful 2013,87
Siddharth 2014,Zeit.,60500.0,,2014,Siddharth 2013,93
Walk of Shame 2014,FCW,59200.0,,2014,Walk of Shame 2014,100
The Conformist (2014 re-release) 2014,KL,58700.0,,2014,The Forest for the Trees 2013,64
Rudderless 2014,Gold.,58300.0,,2014,Rudderless 2014,100
The Rocket (2014) 2014,KL,56800.0,,2014,The Rocket 2013,76
In Bloom 2014,BWP,56100.0,,2014,In Bloom 2013,92
Starred Up 2014,Trib.,54900.0,,2014,Starred Up 2013,93
Half of a Yellow Sun 2014,Mont.,54500.0,,2014,Half of a Yellow Sun 2013,96
Hateship Loveship 2014,IFC,54000.0,,2014,Hateship Loveship 2013,95
"1,000 Times Good Night 2014",FM,53900.0,,2014,"1,000 Times Good Night 2013",96
The Missing Picture 2014,Strand,52200.0,,2014,The Missing Picture 2013,96
Decoding Annie Parker 2014,EOne,48400.0,,2014,Decoding Annie Parker 2013,96
Alphaville (2013 re-release) 2014,Rialto,47700.0,,2014,La fille et le fleuve 2014,61
Return to The Hiding Place 2014,SEA,45400.0,,2014,Return to the Hiding Place 2013,97
Policeman 2014,Crnth,11300.0,27000,2014,Policeman 2011,93
White Bird in a Blizzard 2014,Magn.,33800.0,,2014,White Bird in a Blizzard 2014,100
The Hero of Color City 2014,Magn.,32200.0,,2014,The Hero of Color City 2014,100
Bird People 2014,IFC,32100.0,,2014,Bird People 2014,100
Closed Curtain 2014,Vari.,28100.0,,2014,Closed Curtain 2013,95
Lilting 2014,Strand,27100.0,,2014,Lilting 2014,100
Adult World 2014,IFC,25400.0,,2014,Adult World 2013,94
A Tale of Winter (Conte d'hiver) 2014,BWP,23300.0,,2014,A Tale of Two Thieves 2014,70
The Decent One 2014,KL,21300.0,,2014,The Deception 2012,81
Guardian Angel 2014,RME,19500.0,,2014,Guardian Angel 2014,100
Tasting Menu 2014,Magn.,18700.0,,2014,Tasting Menu 2013,94
Two Night Stand 2014,EOne,18600.0,,2014,Two Night Stand 2014,100
Burning Bush 2014,KL,16700.0,,2014,Burning Blue 2013,82
Horses of God 2014,KL,14800.0,,2014,Horses of God 2012,94
13 Sins 2014,RTWC,13800.0,,2014,13 Sins 2014,100
Camp X-Ray 2014,IFC,13300.0,,2014,Camp X-Ray 2014,100
Special ID 2014,WGUSA,12700.0,,2014,Special ID 2013,93
Wolves 2014,KE,12100.0,,2014,Wolves 2014,100
Falcon Rising 2014,Free,11800.0,,2014,Falcon Rising 2014,100
You're Not You 2014,EOne,11500.0,,2014,You're Not You 2014,100
The Amazing Catfish 2014,Strand,11300.0,,2014,The Amazing Catfish 2013,96
Stray Dogs 2014,CGld,10400.0,,2014,Stray Dogs 2014,100
Canopy 2014,Mont.,8500.0,,2014,Canopy 2013,91
Love is in the Air 2014,FCW,8400.0,,2014,Love Is in the Air 2012,96
Empty Hours 2014,Strand,8200.0,,2014,The Empty Hours 2013,83
Rigor Mortis 2014,WGUSA,7900.0,,2014,Rigor Mortis 2013,94
The Little Bedroom 2014,CLS,7400.0,,2014,The Little Bedroom 2010,96
Plot for Peace 2014,,7100.0,,2014,Plot for Peace 2013,95
Very Good Girls 2014,WGUSA,6900.0,,2014,Very Good Girls 2013,95
Pioneer 2014,Magn.,6900.0,,2014,Pioneer 2013,92
Life of a King 2014,MNE,6500.0,,2014,Life of a King 2013,95
The Strange Little Cat 2014,KS,5900.0,,2014,The Strange Little Cat 2013,96
"2 Autumns, 3 Winters 2014",FM,5800.0,,2014,"2 Autumns, 3 Winters 2013",96
The Devil's Hand 2014,RAtt.,5700.0,,2014,The Devil's Hand 2014,100
Anna 2014,VE,4300.0,,2014,Ana 2014,94
Open Windows 2014,Cdgm.,1800.0,,2014,Open Windows 2014,100
Mr. Pip 2014,Free,1700.0,,2014,Mr. Pip 2012,92
Star Wars: The Force Awakens 2015,BV,936700000.0,"1,131.6",2015,RiffTrax: Star Wars: The Force Awakens 2016,84
Jurassic World 2015,Uni.,652300000.0,"1,019.4",2015,Jurassic World 2015,100
Furious 7 2015,Uni.,353000000.0,"1,163.0",2015,Furious 7 2015,100
Avengers: Age of Ultron 2015,BV,459000000.0,946400000,2015,Avengers: Age of Ultron 2015,100
Minions 2015,Uni.,336000000.0,823400000,2015,Minions 2015,100
Spectre 2015,Sony,200100000.0,680600000,2015,Spectre 2015,100
Inside Out 2015,BV,356500000.0,501100000,2015,Inside Out 2015,100
Mission: Impossible - Rogue Nation 2015,Par.,195000000.0,487700000,2015,Mission: Impossible - Rogue Nation 2015,100
The Hunger Games: Mockingjay - Part 2 2015,LGF,281700000.0,371700000,2015,The Hunger Games: Mockingjay - Part 2 2015,100
The Martian 2015,Fox,228400000.0,401700000,2015,The Martian 2015,100
Fifty Shades of Grey 2015,Uni.,166200000.0,404800000,2015,Fifty Shades of Grey 2015,100
Cinderella (2015) 2015,BV,201200000.0,342400000,2015,Cinderella 2021,81
The Revenant 2015,Fox,183600000.0,349300000,2015,The Revenant 2015,100
Ant-Man 2015,BV,180200000.0,339100000,2015,Ant-Man 2015,100
Hotel Transylvania 2 2015,Sony,169700000.0,305100000,2015,Hotel Transylvania 2 2015,100
San Andreas 2015,WB (NL),155200000.0,318800000,2015,San Andreas 2015,100
Terminator: Genisys 2015,Par.,89800000.0,350800000,2015,Terminator Genisys 2015,98
Kingsman: The Secret Service 2015,Fox,128300000.0,286100000,2015,Kingsman: The Secret Service 2014,97
Home (2015) 2015,Fox,177400000.0,208600000,2015,NHRA la 2015 2015,73
Mad Max: Fury Road 2015,WB,153600000.0,224800000,2015,Mad Max: Fury Road 2015,100
The Good Dinosaur 2015,BV,123100000.0,209100000,2015,The Good Dinosaur 2015,100
Taken 3 2015,Fox,89300000.0,237200000,2015,Taken 3 2014,92
The SpongeBob Movie: Sponge Out of Water 2015,Par.,163000000.0,162200000,2015,The SpongeBob Movie: Sponge Out of Water 2015,100
Maze Runner: The Scorch Trials 2015,Fox,81700000.0,230600000,2015,Maze Runner: The Scorch Trials 2015,100
The Divergent Series: Insurgent 2015,LG/S,130199999.0,167100000,2015,The Crescent Rising 2015,67
Pitch Perfect 2 2015,Uni.,184300000.0,103200000,2015,Pitch Perfect 2 2015,100
Paddington 2015,W/Dim.,76300000.0,191800000,2015,Paddington 2014,93
Mojin: The Lost Legend 2015,WGUSA,1200000.0,258100000,2015,Mojin - The Lost Legend 2015,98
Lost in Hong Kong 2015,WGUSA,1300000.0,255000000,2015,Lost in Hong Kong 2015,100
The Peanuts Movie 2015,Fox,130199999.0,116100000,2015,The Peanuts Movie 2015,100
Pixels 2015,Sony,78700000.0,166100000,2015,Pixels 2015,100
Daddy's Home 2015,Par.,150400000.0,92400000,2015,Daddy's Home 2015,100
Spy 2015,Fox,110800000.0,124800000,2015,Spy 2015,100
Alvin and the Chipmunks: The Road Chip 2015,Fox,85900000.0,148900000,2015,Alvin and the Chipmunks: The Road Chip 2015,100
Goodbye Mr. Loser 2015,CL,1300000.0,226800000,2015,Goodbye Mr. Loser 2015,100
Ted 2 2015,Uni.,81500000.0,135200000,2015,Ted 2 2015,100
Tomorrowland 2015,BV,93400000.0,115700000,2015,Tomorrowland 2015,100
Everest (2015) 2015,Uni.,43500000.0,159900000,2015,Everest 2015,77
Straight Outta Compton 2015,Uni.,161200000.0,40400000,2015,Straight Outta Compton 2015,100
The Intern 2015,WB,75800000.0,118800000,2015,The Intern 2015,100
Jupiter Ascending 2015,WB,47400000.0,136600000,2015,Jupiter Ascending 2015,100
Creed 2015,WB (NL),109800000.0,63800000,2015,Creed 2015,100
Fantastic Four 2015,Fox,56100000.0,111900000,2015,Fantastic Four 2015,100
Bridge of Spies 2015,BV,72300000.0,93200000,2015,Bridge of Spies 2015,100
Focus (2015) 2015,WB,53900000.0,105200000,2015,Focus 2015,74
The Hateful Eight 2015,Wein.,54100000.0,101600000,2015,The Hateful Eight 2015,100
Goosebumps 2015,Sony,80100000.0,70100000,2015,Goosebumps 2015,100
The Last Witch Hunter 2015,LG/S,27400000.0,119600000,2015,The Last Witch Hunter 2015,100
The Taking of Tiger Mountain 2015,WGUSA,229000.0,141400000,2015,The Taking of Tiger Mountain 2014,97
Trainwreck 2015,Uni.,110200000.0,30600000,2015,Trainwreck 2015,100
Mr. Six 2015,CL,1400000.0,137800000,2015,Mr. Six 2015,100
Point Break (2015) 2015,WB,28800000.0,104900000,2015,Point Break 2015,82
The Big Short 2015,Par.,70300000.0,63200000,2015,The Big Short 2015,100
Pan 2015,WB,35100000.0,93300000,2015,Pan 2015,100
Wolf Totem 2015,Sony,211000.0,125600000,2015,Wolf Totem 2015,100
Magic Mike XXL 2015,WB,66000000.0,56500000,2015,Magic Mike XXL 2015,100
Dragon Blade 2015,LGP,74100.0,121500000,2015,Dragon Blade 2015,100
Seventh Son 2015,Uni.,17200000.0,97000000,2015,Seventh Son 2014,94
Insidious Chapter 3 2015,Focus,52200000.0,60800000,2015,Insidious: Chapter 3 2015,98
Get Hard 2015,WB,90400000.0,21400000,2015,Get Hard 2015,100
The Man From U.N.C.L.E. 2015,WB,45400000.0,64400000,2015,The Man from U.N.C.L.E. 2015,100
Paul Blart: Mall Cop 2 2015,Sony,71000000.0,36600000,2015,Paul Blart: Mall Cop 2 2015,100
Shaun the Sheep Movie 2015,LGF,19400000.0,86800000,2015,Shaun the Sheep Movie 2015,100
Sisters 2015,Uni.,87000000.0,18000000,2015,Sisters 2015,100
Vacation 2015,WB (NL),58900000.0,46000000,2015,Vacation 2015,100
Chappie 2015,Sony,31600000.0,70500000,2015,Chappie 2015,100
Joy 2015,Fox,56500000.0,44700000,2015,Joy 2015,100
Black Mass 2015,WB,62600000.0,37200000,2015,Black Mass 2015,100
Devil and Angel (E Gun Tian Shi) 2015,CL,131000.0,98500000,2015,Devil and Angel 2015,70
The Visit 2015,Uni.,65200000.0,33200000,2015,The Visit 2015,100
Spotlight 2015,ORF,45100000.0,53200000,2015,Spotlight 2015,100
Poltergeist (2015) 2015,Fox,47400000.0,48000000,2015,Poltergeist 2015,82
In the Heart of the Sea 2015,WB,25000000.0,68900000,2015,In the Heart of the Sea 2015,100
Southpaw 2015,Wein.,52400000.0,39500000,2015,Southpaw 2015,100
The Second Best Exotic Marigold Hotel 2015,FoxS,33100000.0,52900000,2015,The Second Best Exotic Marigold Hotel 2015,100
Paper Towns 2015,Fox,32000000.0,53500000,2015,Paper Towns 2015,100
Sicario 2015,LGF,46900000.0,38000000,2015,Sicario 2015,100
Hitman: Agent 47 2015,Fox,22500000.0,59900000,2015,Hitman: Agent 47 2015,100
The Wedding Ringer 2015,SGem,64500000.0,15300000,2015,The Wedding Ringer 2015,100
Paranormal Activity: The Ghost Dimension 2015,Par.,18300000.0,60600000,2015,Paranormal Activity: The Ghost Dimension 2015,100
Crimson Peak 2015,Uni.,31100000.0,43600000,2015,Crimson Peak 2015,100
The Transporter Refueled 2015,EC,16000000.0,56600000,2015,The Transporter Refueled 2015,100
Run All Night 2015,WB,26500000.0,45200000,2015,Run All Night 2015,100
War Room 2015,TriS,67800000.0,,2015,War Room 2015,100
The Age of Adaline 2015,LGF,42600000.0,23000000,2015,The Age of Adaline 2015,100
The Danish Girl 2015,Focus,11100000.0,53100000,2015,The Danish Girl 2015,100
Unfriended 2015,Uni.,32500000.0,31600000,2015,Unfriended 2014,93
The Longest Ride 2015,Fox,37400000.0,25500000,2015,The Longest Ride 2015,100
Brooklyn 2015,FoxS,38300000.0,23800000,2015,Brooklyn 2015,100
Dragon Ball Z: Resurrection 'F' 2015,FUN,8000000.0,53800000,2015,Dragon Ball Z: Resurrection 'F' 2015,100
Woman in Gold 2015,Wein.,33299999.0,28300000,2015,Woman in Gold 2015,100
Krampus 2015,Uni.,42700000.0,18800000,2015,Krampus 2015,100
The Walk 2015,TriS,10100000.0,51000000,2015,The Walk 2015,100
The Perfect Guy 2015,SGem,57000000.0,3200000,2015,The Perfect Guy 2015,100
The Gift (2015) 2015,STX,43800000.0,15200000,2015,The Gift 2010,79
No Escape 2015,Wein.,27300000.0,27100000,2015,No Escape 2015,100
Sinister 2 2015,Focus,27700000.0,25100000,2015,Sinister 2 2015,100
Prem Ratan Dhan Payo 2015,FIP,4400000.0,48200000,2015,Phromajan Suay Phan Sayong 2015,68
The Boy Next Door 2015,Uni.,35400000.0,17000000,2015,The Boy Next Door 2015,100
The Night Before 2015,Sony,43000000.0,9300000,2015,The Night Before 2015,100
Hot Pursuit 2015,WB (NL),34600000.0,17100000,2015,Hot Pursuit 2015,100
The 100-Year Old Man Who Climbed Out the Window and Disappeared 2015,MBox,944000.0,50200000,2015,The 100 Year-Old Man Who Climbed Out the Window and Disappeared 2013,99
The Himalayas 2015,CJ,697000.0,49800000,2015,The Himalayas 2015,100
Surprise - Journey To The West 2015,AR,,49600000,2015,Journey to the West 2013,78
Entourage 2015,WB,32400000.0,16900000,2015,Entourage 2015,100
The Woman in Black 2: Angel of Death 2015,Rela.,26500000.0,22400000,2015,The Woman in Black 2: Angel of Death 2014,98
Concussion (2015) 2015,Sony,34500000.0,14100000,2015,Concussion 2015,81
Mortdecai 2015,LGF,7700000.0,39600000,2015,Mortdecai 2015,100
Coming Home (2015) 2015,SPC,378000.0,46400000,2015,Coming Home 2012,82
"McFarland, USA 2015",BV,44500000.0,1200000,2015,"McFarland, USA 2015",100
Max (2015) 2015,WB,42700000.0,1300000,2015,Milano 2015 2015,77
Still Alice 2015,SPC,18800000.0,25100000,2015,Still Alice 2014,94
The DUFF 2015,LGF,34000000.0,9500000,2015,The Duff 2015,100
Legend 2015,Uni.,1900000.0,41100000,2015,Legend 2015,100
The Gallows 2015,WB (NL),22800000.0,20200000,2015,The Gallows 2015,100
Love the Coopers 2015,LGF,26300000.0,16100000,2015,Love the Coopers 2015,100
The Lady in the Van 2015,SPC,10000000.0,31400000,2015,The Lady in the Van 2015,100
Ricki and the Flash 2015,TriS,26800000.0,14500000,2015,Ricki and the Flash 2015,100
Carol 2015,Wein.,12700000.0,27600000,2015,Carol 2015,100
The Lazarus Effect 2015,Rela.,25800000.0,12600000,2015,The Lazarus Effect 2015,100
The Water Diviner 2015,WB,4200000.0,34000000,2015,The Water Diviner 2014,95
A Walk in the Woods 2015,BG,29500000.0,8000000,2015,A Walk in the Woods 2015,100
Ex Machina 2015,A24,25400000.0,11400000,2015,Ex Machina 2014,93
Burnt 2015,Wein.,13700000.0,23000000,2015,Burnt 2015,100
Room 2015,A24,14700000.0,20700000,2015,Room 2015,100
The Secret in their Eyes (2015) 2015,STX,20200000.0,14700000,2015,Secret in Their Eyes 2015,82
Steve Jobs 2015,Uni.,17800000.0,16700000,2015,Steve Jobs 2015,100
Victor Frankenstein 2015,Fox,5800000.0,28500000,2015,Victor Frankenstein 2015,100
Project Almanac 2015,Par.,22300000.0,10900000,2015,Project Almanac 2015,100
Self/Less 2015,Focus,12300000.0,18200000,2015,Self/less 2015,100
Far from the Madding Crowd 2015,FoxS,12200000.0,18000000,2015,Far from the Madding Crowd 2015,100
Mr. Holmes 2015,RAtt.,17700000.0,11600000,2015,Mr. Holmes 2015,100
Love & Mercy 2015,RAtt.,12600000.0,16100000,2015,Love & Mercy 2014,94
Irrational Man 2015,SPC,4000000.0,23400000,2015,Irrational Man 2015,100
American Ultra 2015,LGF,14400000.0,12700000,2015,American Ultra 2015,100
Wild Tales 2015,SPC,3100000.0,23900000,2015,Wild Tales 2014,93
Aloha 2015,Sony,21100000.0,5200000,2015,Aloha 2015,100
"Love, Rosie 2015",TFA,20400.0,25600000,2015,"Love, Rosie 2014",94
The 33 2015,WB,12200000.0,12700000,2015,The 33 2015,100
Capture the Flag 2015,Par.,6700.0,24600000,2015,Capture the Flag 2015,100
The Gunman 2015,ORF,10700000.0,13500000,2015,The Gunman 2015,100
Go Away Mr. Tumor 2015,CL,287000.0,21500000,2015,Go Away Mr. Tumor 2015,100
Black or White 2015,Rela.,21600000.0,,2015,Black or White 2014,95
Blackhat 2015,Uni.,8000000.0,11600000,2015,Blackhat 2015,100
Dope 2015,ORF,17500000.0,480000,2015,Dope 2015,100
Brothers: Blood Against Blood 2015,FIP,614000.0,17200000,2015,Brothers in Blood 2014,75
While We're Young 2015,A24,7600000.0,9700000,2015,While We're Young 2014,95
Monkey Kingdom 2015,BV,16399999.0,711000,2015,Monkey Kingdom 2015,100
Macbeth (2015) 2015,Wein.,1100000.0,15200000,2015,Macbeth 2020,77
Scouts Guide to the Zombie Apocalypse 2015,Par.,3700000.0,12400000,2015,Scouts Guide to the Zombie Apocalypse 2015,100
Suffragette 2015,Focus,4700000.0,11300000,2015,Suffragette 2015,100
It Follows 2015,RTWC,14700000.0,,2015,It Follows 2014,93
Unfinished Business 2015,Fox,10200000.0,4200000,2015,Unfinished Business 2015,100
Do You Believe? 2015,PFR,13000000.0,1400000,2015,Do You Believe? 2015,100
Woodlawn 2015,PFR,14400000.0,,2015,Woodlawn 2015,100
Strange Magic 2015,BV,12400000.0,1200000,2015,Strange Magic 2015,100
Hot Tub Time Machine 2 2015,Par.,12300000.0,767000,2015,Hot Tub Time Machine 2 2015,100
Child 44 2015,LG/S,1200000.0,11700000,2015,Child 44 2015,100
We Are Your Friends 2015,WB,3600000.0,7500000,2015,We Are Your Friends 2015,100
Danny Collins 2015,BST,5600000.0,5200000,2015,Danny Collins 2015,100
Kung Fu Killer 2015,WGUSA,130000.0,10000000,2015,Kung Fu Girls 2015,81
A Little Chaos 2015,FCW,558000.0,9500000,2015,A Little Chaos 2014,95
The Loft 2015,ORF,6000000.0,4099999,2015,The Loft 2014,92
The Young & Prodigious T.S. Spivet 2015,Wein.,174000.0,9300000,2015,The Young and Prodigious T.S. Spivet 2013,92
Shanghai 2015,Wein.,46400.0,9200000,2015,Shanghai 2010,92
Un Gallo con Muchos Huevos 2015,LGF,9100000.0,,2015,Un lloc on caure mort 2015,67
Me and Earl and the Dying Girl 2015,FoxS,6800000.0,2300000,2015,Me and Earl and the Dying Girl 2015,100
Amy 2015,A24,8400000.0,,2015,Amy 2015,100
Shaandaar 2015,FIP,522000.0,7800000,2015,Shaandaar 2015,100
Trumbo (2015) 2015,BST,7900000.0,378000,2015,Trumbo 2015,76
Bajrangi Bhaijaan 2015,Eros,8199999.0,,2015,Bajrangi Bhaijaan 2015,100
I'll See You In My Dreams 2015,BST,7400000.0,,2015,I'll See You in My Dreams 2015,100
The Green Inferno 2015,BH Tilt,7200000.0,,2015,The Green Inferno 2013,95
Grandma (2015) 2015,SPC,7000000.0,107000,2015,Grandma 2015,77
Our Brand Is Crisis (2015) 2015,WB,7000000.0,,2015,Our Brand Is Crisis 2015,87
Baahubali: The Beginning 2015,BSC,6700000.0,,2015,Baahubali: The Beginning 2015,100
Bajirao Mastani 2015,Eros,6600000.0,,2015,Bajirao Mastani 2015,100
Little Boy 2015,ORF,6500000.0,,2015,Little Boy 2015,100
What We Do in the Shadows 2015,U/P,3500000.0,2800000,2015,What We Do in the Shadows 2014,97
Anomalisa 2015,Par.,3800000.0,1900000,2015,Anomalisa 2015,100
Pawn Sacrifice 2015,BST,2400000.0,3100000,2015,Pawn Sacrifice 2014,95
Serena 2015,Magn.,176000.0,4900000,2015,Serena 2014,91
Mr. X 2015,FIP,45000.0,5000000,2015,Mr. X 2015,100
Dilwale 2015,UTV,4900000.0,,2015,Dilwale 2015,100
Back to the Future Day 2015,UHE,1700000.0,3200000,2015,Back to the Sea 2012,77
Trash 2015,FCW,17500.0,4800000,2015,Trash 2015,100
True Story 2015,FoxS,4700000.0,,2015,True Story 2015,100
"Buen Dia, Ramon 2015",FIP,154000.0,4500000,2015,"Buen Día, Ramón 2013",85
Hamari Adhuri Kahani 2015,FIP,235000.0,4200000,2015,Hamari Adhuri Kahani 2015,100
45 Years 2015,IFC,4200000.0,,2015,45 Years 2015,100
Escobar: Paradise Lost 2015,RTWC,196000.0,3600000,2015,Escobar: Paradise Lost 2014,96
Spare Parts 2015,LGF,3600000.0,,2015,Spare Parts 2015,100
Learning to Drive 2015,BG,3400000.0,,2015,Learning to Drive 2014,95
By the Sea 2015,Uni.,538000.0,2800000,2015,By the Sea 2015,100
Sleeping with Other People 2015,IFC,819000.0,2400000,2015,Sleeping with Other People 2015,100
Phoenix (2015) 2015,IFC,3200000.0,,2015,Phoenix 2012,77
Jimmy's Hall 2015,SPC,561000.0,2600000,2015,Jimmy's Hall 2014,94
Dil Dhadakne Do 2015,Eros,3100000.0,,2015,Dil Dhadakne Do 2015,100
Ladrones 2015,LGF,3100000.0,,2015,Ladrones 2015,100
Remember (Canada Release) 2015,EOne,547000.0,2500000,2015,Remember me Please 2018,72
Tanu Weds Manu Returns 2015,Eros,3000000.0,,2015,Tanu Weds Manu Returns 2015,100
Rock The Kasbah 2015,ORF,3000000.0,,2015,Rock the Kasbah 2015,100
The End of the Tour 2015,A24,3000000.0,,2015,The End of the Tour 2015,100
